song_id,count,year
645489,31,2008
654757,27,2008
707167,23,2008
173681,22,2008
589292,20,2008
104450,20,2008
1236,19,2008
527305,19,2008
11777,17,2008
14333,17,2008
533739,17,2008
482903,17,2008
614325,16,2008
397412,16,2008
529965,16,2008
572932,16,2008
509484,16,2008
170317,16,2008
569611,15,2008
96564,15,2008
188349,15,2008
308966,15,2008
88503,15,2008
409613,15,2008
536156,15,2008
333091,15,2008
675567,15,2008
175944,14,2008
112008,14,2008
417870,14,2008
41567,14,2008
41702,14,2008
194542,14,2008
480973,14,2008
205521,13,2008
103120,13,2008
86130,13,2008
571885,13,2008
664036,13,2008
238154,13,2008
117595,13,2008
628199,13,2008
287003,13,2008
358818,12,2008
441049,12,2008
425758,12,2008
21988,12,2008
402779,12,2008
103644,12,2008
466049,12,2008
396658,12,2008
698177,12,2008
173943,12,2008
279532,12,2008
243099,12,2008
331003,12,2008
205757,11,2008
89182,11,2008
202504,11,2008
425889,11,2008
141802,11,2008
504151,11,2008
547940,11,2008
516088,11,2008
63979,11,2008
280683,11,2008
474757,11,2008
158153,11,2008
659416,11,2008
425043,11,2008
457500,11,2008
626924,11,2008
430005,10,2008
641640,10,2008
325786,10,2008
231154,10,2008
583532,10,2008
667123,10,2008
440848,10,2008
626700,10,2008
598029,10,2008
655756,10,2008
325455,10,2008
228516,10,2008
396200,10,2008
585216,10,2008
68432,10,2008
701323,10,2008
170206,10,2008
92166,10,2008
468797,10,2008
469045,10,2008
72732,10,2008
669701,10,2008
552540,10,2008
528414,10,2008
58836,10,2008
185571,10,2008
22845,10,2008
594111,10,2008
98472,10,2008
358665,10,2008
351757,10,2008
454650,10,2008
316600,10,2008
84195,10,2008
664191,9,2008
557133,9,2008
436057,9,2008
207558,9,2008
137236,9,2008
326343,9,2008
371171,9,2008
581115,9,2008
67773,9,2008
707837,9,2008
616860,9,2008
667106,9,2008
223083,9,2008
195633,9,2008
259931,9,2008
573694,9,2008
466574,9,2008
221785,9,2008
73440,9,2008
193610,9,2008
243539,9,2008
526084,9,2008
516542,9,2008
67044,9,2008
153180,9,2008
430159,9,2008
554287,9,2008
611185,9,2008
282567,9,2008
64813,9,2008
89620,9,2008
458871,9,2008
593912,9,2008
522350,9,2008
201283,9,2008
203613,8,2008
247365,8,2008
666160,8,2008
310375,8,2008
579690,8,2008
542232,8,2008
459887,8,2008
553080,8,2008
81605,8,2008
21901,8,2008
674132,8,2008
60718,8,2008
13030,8,2008
324755,8,2008
689676,8,2008
353255,8,2008
268264,8,2008
511804,8,2008
507060,8,2008
228133,8,2008
264162,8,2008
567520,8,2008
351304,8,2008
74403,8,2008
291080,8,2008
651499,8,2008
541219,8,2008
29532,8,2008
472017,8,2008
629738,8,2008
198706,8,2008
359051,8,2008
204380,8,2008
540992,8,2008
376393,8,2008
276685,8,2008
304720,8,2008
512156,8,2008
411717,8,2008
687196,8,2008
208705,8,2008
320777,8,2008
165346,8,2008
346897,8,2008
467385,8,2008
147085,8,2008
465555,8,2008
47901,8,2008
644261,8,2008
477808,8,2008
285934,8,2008
12623,8,2008
643298,8,2008
92254,8,2008
543751,8,2008
688388,8,2008
196161,8,2008
248074,8,2008
61873,8,2008
602459,8,2008
355078,8,2008
168355,8,2008
117953,8,2008
333562,8,2008
165793,8,2008
204866,8,2008
470374,8,2008
423503,8,2008
599766,8,2008
246054,8,2008
508714,7,2008
310842,7,2008
501148,7,2008
614701,7,2008
257277,7,2008
419522,7,2008
100657,7,2008
390227,7,2008
506407,7,2008
204579,7,2008
293250,7,2008
516237,7,2008
676988,7,2008
219955,7,2008
175230,7,2008
365898,7,2008
263449,7,2008
699133,7,2008
138831,7,2008
112403,7,2008
304205,7,2008
483384,7,2008
90465,7,2008
138418,7,2008
266967,7,2008
704666,7,2008
195524,7,2008
437332,7,2008
132805,7,2008
20064,7,2008
69155,7,2008
251649,7,2008
467139,7,2008
365678,7,2008
610891,7,2008
492893,7,2008
114429,7,2008
439409,7,2008
422775,7,2008
624848,7,2008
703864,7,2008
578240,7,2008
579797,7,2008
59618,7,2008
317056,7,2008
214521,7,2008
612938,7,2008
508212,7,2008
293397,7,2008
583504,7,2008
377725,7,2008
406372,7,2008
224139,7,2008
72334,7,2008
319820,7,2008
